fecha_evaluacion,horizonte,modelo,fecha_emision,valor_predicho,valor_real,error,h_adelanto_h
2026-08-19T05:49:17Z,2026-08-18T14:00:00Z,v1,2026-08-18T05:47:41Z,37834.73148148148,39487.25,1652.5185185185182,8.21
2026-08-19T05:49:17Z,2026-08-18T15:00:00Z,v1,2026-08-18T05:47:41Z,37834.73148148148,39511.583333333336,1676.851851851854,9.21
2026-08-19T05:49:17Z,2026-08-18T16:00:00Z,v1,2026-08-18T05:47:41Z,37834.73148148148,39396.75,1562.0185185185182,10.21
2026-08-19T05:49:17Z,2026-08-18T17:00:00Z,v1,2026-08-18T05:47:41Z,37499.822916666664,38708.25,1208.4270833333358,11.21
2026-08-19T05:49:17Z,2026-08-18T18:00:00Z,v1,2026-08-18T05:47:41Z,35696.17156862745,37168.166666666664,1471.9950980392168,12.21
2026-08-19T05:49:17Z,2026-08-18T19:00:00Z,v1,2026-08-18T05:47:41Z,35327.68869731801,36805.5,1477.811302681992,13.21
2026-08-19T05:49:17Z,2026-08-18T20:00:00Z,v1,2026-08-18T05:47:41Z,33472.42821782179,35083.166666666664,1610.7384488448733,14.21
2026-08-19T05:49:17Z,2026-08-18T21:00:00Z,v1,2026-08-18T05:47:41Z,31484.805925925928,32399.333333333332,914.5274074074041,15.21
2026-08-19T05:49:17Z,2026-08-18T22:00:00Z,v1,2026-08-19T05:49:15Z,29731.08442982456,30169.75,438.6655701754389,-7.82
2026-08-19T05:49:17Z,2026-08-18T23:00:00Z,v1,2026-08-19T05:49:15Z,27477.171568627444,28368.333333333332,891.1617647058883,-6.82
2026-08-19T05:49:17Z,2026-08-19T00:00:00Z,v1,2026-08-19T05:49:15Z,25923.52205882353,26970.25,1046.7279411764684,-5.82
2026-08-19T05:49:17Z,2026-08-19T01:00:00Z,v1,2026-08-19T05:49:15Z,24887.289215686276,26035.583333333332,1148.2941176470558,-4.82
2026-08-19T05:49:17Z,2026-08-19T02:00:00Z,v1,2026-08-19T05:49:15Z,25223.163636363635,25538.083333333332,314.9196969696968,-3.82
2026-08-19T05:49:17Z,2026-08-19T03:00:00Z,v1,2026-08-19T05:49:15Z,25223.163636363635,25529.083333333332,305.9196969696968,-2.82
2026-08-19T05:49:17Z,2026-08-19T04:00:00Z,v1,2026-08-19T05:49:15Z,26541.82833333334,27082.333333333332,540.5049999999937,-1.82
